Time	MU_1	MU_2	MU_3	MU_4	MU_5	MU_6	MU_7	MU_8	MU_9	MU_10	MU_11	MU_12	MU_13	MU_14	MU_15	MU_16	MU_17	MU_18	MU_19	MU_20	MU_21	MU_22	MU_23	MU_24	MU_25	MU_26
16.21	22.4181228615726	20.5775724437875	20.0875803908489	19.7922490926036	18.0481476150367	18.7735161679804	18.1199210183782	17.8406096104323	18.4265311786462	20.2988563829321	19.8833996900122	18.22143284691	15.3099933753006	18.1567562686163	11.9512593720472	12.3179765553514	12.12882973633	11.1850894174095	12.1623826920735	11.2389642442799	6.6964701482412	7.19604645969466	4.97046756344606	5.13546967000231	5.09816400837762	1.36905569275464
16.22	22.4149546051593	20.5852897288968	20.0813578928164	19.8186729769172	18.0351133643594	18.7346144312488	18.1064428716886	17.8435457306788	18.4008576831149	20.3125339548126	19.8962851994802	18.1931499238375	15.3165485444528	18.1804201010785	11.9214639194601	12.3044652017686	12.1488461994253	11.179298826832	12.1600457990039	11.2447667626691	6.73690514658992	7.20237891565756	5.00377781156005	5.15347594442597	5.15412778860972	1.33273822331797
16.23	22.4142938513118	20.5943486658326	20.0786866197768	19.8458155430426	18.0227282649419	18.6968155979829	18.0927188280499	17.845107378701	18.3776156033723	20.3288942507414	19.9104414776514	18.1604797042062	15.3256590449642	18.1994295785795	11.8947207855021	12.2898432746374	12.1684713965093	11.1742497723683	12.1571631118551	11.2493039574369	6.77036409138931	7.20793944207417	5.04105922273456	5.17087004210582	5.20560112017459	1.29905981102718
16.24	22.4157340889589	20.6023355797641	20.0768052465323	19.8706565488561	18.0100653228753	18.6579390882409	18.0784241266441	17.8472990511059	18.3542702864921	20.3480779398143	19.9248625017156	18.1261919791173	15.334454378112	18.2137895953176	11.8695311862809	12.2740189592147	12.1901634201913	11.1683222708063	12.1535627196451	11.2498852029797	6.79690363579171	7.21266816325603	5.08207518945003	5.18760599131092	5.25226797592876	1.26814853792934
16.25	22.4209008303313	20.6108739632635	20.0759163470571	19.8930245014048	17.9990509352008	18.6164382851717	18.0653034952286	17.8500462050191	18.3294891961107	20.3698261922221	19.9395791745021	18.091501782501	15.3429848970804	18.2242669113218	11.8484287853243	12.2590419413343	12.2151541724318	11.1635999911795	12.1494922293445	11.2454287406441	6.81645629593807	7.21656182767412	5.1267392276257	5.20357381842887	5.29402189402372	1.24012779354869
16.26	22.4297713530053	20.6210355495911	20.0786702836753	19.9155926937138	17.9920636707218	18.572495420496	18.0557439455035	17.8533174128087	18.3033710359148	20.3940279937816	19.9545535824224	18.0564011616785	15.3539668734606	18.2302223155138	11.8319083069953	12.246963714028	12.2430296525515	11.162194774306	12.1437858886985	11.2361053452538	6.83151640081238	7.21960285666349	5.17273289892892	5.2187803259424	5.33063563456897	1.21510749263274
16.27	22.4407945721691	20.6327279182493	20.0849392192317	19.938450101431	17.9878025316686	18.5263404264252	18.0497269143778	17.8557007414537	18.2769630718257	20.4207164456828	19.9676805847324	18.0211130551218	15.3674379979008	18.231207116077	11.8199669488527	12.2351995068142	12.2712346597767	11.1640242486393	12.13643739807	11.2218676428653	6.84339274561271	7.22177128904413	5.21794757775525	5.23305252380183	5.36202400110999	1.19318516320432
16.28	22.4542762381873	20.6453213979773	20.0951371626184	19.9616287848159	17.9838141603279	18.478032162433	18.0447867763828	17.858217664569	18.2530704261971	20.4491031126492	19.977253496119	17.9853078337452	15.3834818285869	18.2274571003866	11.8127372824344	12.2225048382662	12.2982551740736	11.1692516605202	12.1286820903204	11.2028379581562	6.8518909688908	7.2230812912479	5.26238995345131	5.24653929124212	5.3880021503056	1.17444865196679
16.29	22.4726498962886	20.6572366226174	20.1096417250911	19.9848557150562	17.979839645983	18.4296693380239	18.0395064737836	17.8613429146082	18.2296106614758	20.4784134853743	19.9859844788418	17.9463396691693	15.4018814511692	18.2187030315379	11.810109826836	12.2088767661486	12.3241153112641	11.177628227513	12.120327551309	11.1790271664349	6.85705314774721	7.22349847932943	5.30571293355705	5.25797813814452	5.40853593709861	1.1589698959888
16.3	22.4965931376139	20.6702061854761	20.1277776731568	20.0081873435316	17.9760096698295	18.3832076653077	18.0341961838948	17.8648034734797	18.2051742687765	20.5098048089103	19.9947371131412	17.9058176603072	15.4225835190719	18.2066191072213	11.8122830887865	12.1962477071403	12.3492455339894	11.1894108270452	12.1115612102963	11.1505869584827	6.85881438302021	7.22287527344334	5.34791360907359	5.26479490903764	5.42355669076564	1.14681184639611
16.31	22.5230270573547	20.6845416320182	20.1492829214035	20.0292824300803	17.9721437051979	18.3361449962863	18.0285962655457	17.8659438459256	18.1800498175039	20.5430646670849	20.0009242250265	17.8657489781493	15.4431667690629	18.1911408212395	11.8172146341702	12.1868279474059	12.3764119502541	11.2024074330359	12.1023043317694	11.1175686033261	6.85719180183179	7.21871720866995	5.3886103376623	5.26650318115719	5.4353647812428	1.13802024335304
16.32	22.5513383727813	20.7001334002313	20.1742565631452	20.0488219117507	17.9692440729288	18.2875982996349	18.0235733412722	17.8642878217437	18.1565966287824	20.578667497905	20.0033149378439	17.8266677110188	15.4645901996868	18.1707852162825	11.8233922594665	12.1805648369391	12.4060263872905	11.2162048408227	12.092673689741	11.0801639506564	6.85218245587161	7.20959848531313	5.4288955526127	5.26483559568333	5.44556630015861	1.13263219164357
